item,id
italian b.m.t.  salad,295
meatball marinara salad,296
oven roasted chicken salad,297
roast beef salad,298
rotisserie style chicken salad,299
southwest chipotle chicken club salad,300
spicy italian salad,301
steak & cheese salad,302
steak club salad salad,303
subway club salad,304
sweet onion chicken teriyaki salad,305
tuna salad,306
turkey breast salad,307
veggie delite salad,308
"bacon, egg & cheese breakfast",309
"black forest ham, egg & cheese breakfast",310
egg & cheese breakfast,311
"steak, egg & cheese breakfast",312
bacon extra,313
caramel apple cookie extra,314
chocolate chip cookie extra,315
chocolate chip with m&m candies extra,316
chocolate chunk cookie extra,317
dark chocolate cherry cookie extra,318
double chocolate extra,319
oatmeal raisin cookie extra,320
pepperoni extra,321
raspberry cheesecake cookie extra,322
raspberry lemonade cookie extra,323
sugar cookie extra,324
white chip macadamia nut cookie extra,325
bbq rib signature wrap wrap,326
black forest ham wrap,327
chicken & bacon ranch melt wrap,328
chipotle southwest steak & cheese wrap,329
cold cut combo wrap,330
cripsy cauliflower ranch signature wrap wrap,331
italian b.m.t.  wrap,332
meatball marinara wrap,333
cauliflower fritter curry signature wrap wrap,334
oven roasted chicken wrap,335
roast beef wrap,336
rotisserie style chicken wrap,337
savory rotisserie style chicken caesar wrap,338
spicy italian wrap,339
subway club wrap,340
sweet onion chicken teriyaki wrap,341
tuna wrap,342
turkey breast wrap,343
"turkey, bacon & guacamole wrap",344
veggie delite wrap,345
roasted garlic bread,346
9 grain honey oat bread,347
9 grain wheat bread,348
artisan flatbread bread,349
hearty italian bread,350
italian bread,351
italian herbs & cheese bread,352
jalapeno cheese bread,353
mini 9 grain wheat bread,354
mini italian bread,355
monterey cheddar bread,356
parmesan oregano bread,357
rosemary & sea salt bread,358
spinach wrap bread,359
tomato basil wrap bread,360
american cheese,361
cheddar cheese,362
monterey cheddar cheese,363
pepperjack cheese,364
provolone cheese,365
shredded mozzarella cheese,366
swiss cheese,367
bacon extras,368
guacamole extras,369
pepperoni extras,370
chipotle southwest sauces,371
honey mustard sauces,372
light mayonnaise sauces,373
oil sauces,374
ranch sauces,375
red wine vinegar sauces,376
regular mayonnaise sauces,377
savory caesar sauces,378
spicy brown mustard sauces,379
subway vinaigrette sauces,380
sweet onion sauce sauces,381
yellow mustard sauces,382
banana peppers veggies,383
black olives veggies,384
cucumbers veggies,385
green peppers veggies,386
jalapenos veggies,387
lettuce veggies,388
pickles veggies,389
red onions veggies,390
spinach veggies,391
tomatoes veggies,392
bacon protein,393
parmesan cheese seasonings,394
brewed coffee short coffee,395
brewed coffee tall coffee,396
brewed coffee grande coffee,397
brewed coffee venti coffee,398
caffe latte short nonfat milk,399
caffe latte short 2% milk,400
caffe latte short soymilk,401
caffe latte tall nonfat milk,402
caffe latte tall  2% milk,403
caffe latte tall  soymilk,404
caffe latte grande nonfat milk,405
caffe latte grande 2% milk,406
caffe latte grande soymilk,407
caffe latte venti nonfat milk,408
caffe latte venti 2% milk,409
caffe latte venti soymilk,410
caffe mocha (without whipped cream) short nonfat milk,411
caffe mocha (without whipped cream) short 2% milk,412
caffe mocha (without whipped cream) short soymilk,413
caffe mocha (without whipped cream) tall nonfat milk,414
caffe mocha (without whipped cream) tall 2% milk,415
caffe mocha (without whipped cream) tall soymilk,416
caffe mocha (without whipped cream) grande nonfat milk,417
caffe mocha (without whipped cream) grande  2% milk,418
caffe mocha (without whipped cream) grande  soymilk,419
caffe mocha (without whipped cream) venti nonfat milk,420
caffe mocha (without whipped cream) venti 2% milk,421
caffe mocha (without whipped cream) venti soymilk,422
vanilla latte (or other flavoured latte) short nonfat milk,423
vanilla latte (or other flavoured latte) short 2% milk,424
vanilla latte (or other flavoured latte) short soymilk,425
vanilla latte (or other flavoured latte) tall nonfat milk,426
vanilla latte (or other flavoured latte) tall  2% milk,427
vanilla latte (or other flavoured latte) tall  soymilk,428
vanilla latte (or other flavoured latte) grande nonfat milk,429
vanilla latte (or other flavoured latte) grande 2% milk,430
vanilla latte (or other flavoured latte) grande soymilk,431
vanilla latte (or other flavoured latte) venti nonfat milk,432
vanilla latte (or other flavoured latte) venti  2% milk,433
vanilla latte (or other flavoured latte) venti  soymilk,434
caffe americano short,435
caffe americano tall,436
caffe americano grande,437
caffe americano venti,438
cappuccino short nonfat milk,439
cappuccino short  2% milk,440
cappuccino short  soymilk,441
cappuccino tall nonfat milk,442
cappuccino tall 2% milk,443
cappuccino tall soymilk,444
cappuccino grande nonfat milk,445
cappuccino grande 2% milk,446
cappuccino grande soymilk,447
cappuccino venti nonfat milk,448
cappuccino venti  2% milk,449
cappuccino venti  soymilk,450
espresso solo,451
espresso doppio,452
skinny latte (any flavour) short nonfat milk,453
skinny latte (any flavour) tall nonfat milk,454
skinny latte (any flavour) grande nonfat milk,455
skinny latte (any flavour) venti nonfat milk,456
caramel macchiato short nonfat milk,457
caramel macchiato short 2% milk,458
caramel macchiato short soymilk,459
caramel macchiato tall nonfat milk,460
caramel macchiato tall  2% milk,461
caramel macchiato tall  soymilk,462
caramel macchiato grande nonfat milk,463
caramel macchiato grande 2% milk,464
caramel macchiato grande soymilk,465
caramel macchiato venti nonfat milk,466
caramel macchiato venti 2% milk,467
caramel macchiato venti soymilk,468
white chocolate mocha (without whipped cream) short nonfat milk,469
white chocolate mocha (without whipped cream) short 2% milk,470
white chocolate mocha (without whipped cream) short soymilk,471
white chocolate mocha (without whipped cream) tall nonfat milk,472
white chocolate mocha (without whipped cream) tall  2% milk,473
white chocolate mocha (without whipped cream) tall  soymilk,474
white chocolate mocha (without whipped cream) grande nonfat milk,475
white chocolate mocha (without whipped cream) grande 2% milk,476
white chocolate mocha (without whipped cream) grande soymilk,477
white chocolate mocha (without whipped cream) venti nonfat milk,478
white chocolate mocha (without whipped cream) venti 2% milk,479
white chocolate mocha (without whipped cream) venti soymilk,480
hot chocolate (without whipped cream) short nonfat milk,481
hot chocolate (without whipped cream) short 2% milk,482
hot chocolate (without whipped cream) short soymilk,483
hot chocolate (without whipped cream) tall nonfat milk,484
hot chocolate (without whipped cream) tall  2% milk,485
hot chocolate (without whipped cream) tall  soymilk,486
hot chocolate (without whipped cream) grande nonfat milk,487
hot chocolate (without whipped cream) grande 2% milk,488
hot chocolate (without whipped cream) grande soymilk,489
hot chocolate (without whipped cream) venti nonfat milk,490
hot chocolate (without whipped cream) venti  2% milk,491
hot chocolate (without whipped cream) venti  soymilk,492
caramel apple spice (without whipped cream) short,493
caramel apple spice (without whipped cream) tall,494
caramel apple spice (without whipped cream) grande,495
caramel apple spice (without whipped cream) venti,496
tazo tea short,497
tazo tea tall,498
tazo tea grande,499
tazo tea venti,500
tazo chai tea latte short nonfat milk,501
tazo chai tea latte short 2% milk,502
tazo chai tea latte short soymilk,503
tazo chai tea latte tall nonfat milk,504
tazo chai tea latte tall  2% milk,505
tazo chai tea latte tall  soymilk,506
tazo chai tea latte grande nonfat milk,507
tazo chai tea latte grande 2% milk,508
tazo chai tea latte grande soymilk,509
tazo chai tea latte venti nonfat milk,510
tazo chai tea latte venti  2% milk,511
tazo chai tea latte venti  soymilk,512
tazo green tea latte short nonfat milk,513
tazo green tea latte short 2% milk,514
tazo green tea latte short soymilk,515
tazo green tea latte tall nonfat milk,516
tazo green tea latte tall 2% milk,517
tazo green tea latte tall soymilk,518
tazo green tea latte grande nonfat milk,519
tazo green tea latte grande 2% milk,520
tazo green tea latte grande soymilk,521
tazo green tea latte venti nonfat milk,522
tazo green tea latte venti 2% milk,523
tazo green tea latte venti soymilk,524
tazo full leaf tea latte short nonfat milk,525
tazo full leaf tea latte short 2% milk,526
tazo full leaf tea latte short soymilk,527
tazo full leaf tea latte tall nonfat milk,528
tazo full leaf tea latte tall 2% milk,529
tazo full leaf tea latte tall soymilk,530
tazo full leaf tea latte grande nonfat milk,531
tazo full leaf tea latte grande  2% milk,532
tazo full leaf tea latte grande  soymilk,533
tazo full leaf tea latte venti nonfat milk,534
tazo full leaf tea latte venti 2% milk,535
tazo full leaf tea latte venti soymilk,536
tazo full leaf red tea latte (vanilla rooibos) short nonfat milk,537
